18 2
0.0 0.0 0
0.185 1.554 0
0.742 3.298 0
1.484 4.548 0
2.411 5.859 0
3.895 7.524 0
11.871 9.783 0
18.734 4.705 0
23.0 -2.663 0
26.338 -10.988 0
28.75 -18.713 0
31.161 -27.615 0
33.201 -35.897 0
35.241 -44.337 0
36.355 -48.941 0
36.726 -50.476 0
36.814 -52.087 0
36.461 -52.305 0
0.0 0.0 0
0.185 -0.913 0
0.927 -2.278 0
1.669 -2.963 0
2.782 -3.852 0
4.081 -4.895 0
9.089 -9.023 0
13.64 -13.062 0
18.363 -18.038 0
22.444 -23.229 0
25.967 -28.85 0
28.935 -34.724 0
31.347 -40.456 0
33.757 -46.92 0
34.87 -49.95 0
35.427 -51.465 0
36.075 -52.312 0
36.461 -52.305 0
