65 2
0.0 0.0 0
0.185 1.554 0
0.742 3.298 0
1.484 4.548 0
2.411 5.859 0
3.895 7.524 0
11.871 9.783 0
18.734 4.705 0
23.0 -2.663 0
26.338 -10.988 0
28.75 -18.713 0
31.161 -27.615 0
33.201 -35.897 0
35.241 -44.337 0
36.355 -48.941 0
36.3875120095 -49.0771901848 0
36.418287676 -49.209500078 0
36.4473564565 -49.3379886883 0
36.4747478079 -49.462715024 0
36.5004911874 -49.5837380938 0
36.5246160518 -49.701116906 0
36.5471518583 -49.8149104693 0
36.5681280637 -49.9251777921 0
36.5875741251 -50.0319778828 0
36.6055194995 -50.1353697501 0
36.621993644 -50.2354124024 0
36.6370260154 -50.3321648482 0
36.6506460708 -50.4256860959 0
36.6628832672 -50.5160351542 0
36.6737670616 -50.6032710315 0
36.683326911 -50.6874527363 0
36.6915922724 -50.7686392771 0
36.6985926027 -50.8468896624 0
36.7043573591 -50.9222629007 0
36.7089159985 -50.9948180005 0
36.7122979779 -51.0646139703 0
36.7145327543 -51.1317098186 0
36.7156497846 -51.1961645539 0
36.715678526 -51.2580371847 0
36.7146484354 -51.3173867195 0
36.7125889698 -51.3742721668 0
36.7095295862 -51.4287525351 0
36.7054997416 -51.480886833 0
36.700528893 -51.5307340688 0
36.6946464974 -51.5783532511 0
36.6878820117 -51.6238033884 0
36.6802648932 -51.6671434893 0
36.6718245986 -51.7084325621 0
36.662589981 -51.7477276295 0
36.6525828719 -51.7850626266 0
36.6418205728 -51.8204565937 0
36.6303203097 -51.8539283228 0
36.6180993087 -51.8854966059 0
36.6051747956 -51.915180235 0
36.5915639965 -51.9429980021 0
36.5772841375 -51.9689686992 0
36.5623524444 -51.9931111183 0
36.5467861434 -52.0154440514 0
36.5306024604 -52.0359862906 0
36.5138186213 -52.0547566277 0
36.4964518523 -52.0717738548 0
36.4785193793 -52.0870567639 0
36.4600384283 -52.100624147 0
36.4410262253 -52.1124947961 0
36.4214999963 -52.1226875032 0
0.0 0.0 0
0.185 -0.913 0
0.927 -2.278 0
1.669 -2.963 0
2.782 -3.852 0
4.081 -4.895 0
9.089 -9.023 0
13.64 -13.062 0
18.363 -18.038 0
22.444 -23.229 0
25.967 -28.85 0
28.935 -34.724 0
31.347 -40.456 0
33.757 -46.92 0
34.8700167099 -49.9500454497 0
34.9195061425 -50.0834256908 0
34.96778554 -50.211093726 0
35.0148696475 -50.3331405503 0
35.0607899199 -50.4497026081 0
35.1055778124 -50.5609163439 0
35.1492647798 -50.6669182023 0
35.1918822773 -50.7678446276 0
35.2334617597 -50.8638320644 0
35.2740346821 -50.9550169573 0
35.3136324995 -51.0415357507 0
35.352286667 -51.123524889 0
35.3900286394 -51.2011208169 0
35.4268898718 -51.2744599788 0
35.4629018192 -51.3436788192 0
35.4980959366 -51.4089137826 0
35.5325036789 -51.4703013135 0
35.5661565013 -51.5279778564 0
35.5990858587 -51.5820798558 0
35.6313232061 -51.6327437562 0
35.6628999985 -51.6801060021 0
35.6938476909 -51.724303038 0
35.7241977382 -51.7654713084 0
35.7539815956 -51.8037472578 0
35.783230718 -51.8392673307 0
35.8119765604 -51.8721679716 0
35.8402505778 -51.9025856249 0
35.8680842252 -51.9306567353 0
35.8955089575 -51.9565177472 0
35.9225562299 -51.980305105 0
35.9492574973 -52.0021552534 0
35.9756442147 -52.0222046367 0
36.0017478371 -52.0405896996 0
36.0275998195 -52.0574468864 0
36.0532292129 -52.0729049757 0
36.0786371219 -52.0870036287 0
36.1038066208 -52.0997250118 0
36.1287204837 -52.1110503328 0
36.1533614846 -52.1209607998 0
36.1777123976 -52.1294376208 0
36.2017559965 -52.1364620038 0
36.2254750555 -52.1420151567 0
36.2488523484 -52.1460782877 0
36.2718706494 -52.1486326047 0
36.2945127324 -52.1496593156 0
36.3167613713 -52.1491396285 0
36.3385993403 -52.1470547515 0
36.3600094133 -52.1433858924 0
36.3809743643 -52.1381142593 0
36.4014769673 -52.1312210602 0
36.4214999963 -52.1226875032 0
